spark,13967,DeadCode
carbondata,2836,BugProne
openwhisk,1063,NotSATD
beam,1230,PoorTesting
kafka,8883,PoorTesting
spark,13078,Readability
nifi-minifi-cpp,924,NonCodeArtifact
parquet-mr,150,MissingDocs
camel,3381,Convention
flink,592,NotSATD
pulsar,9751,PoorPerformance
flink,15051,PoorTesting
spark,16152,Duplicate
ambari,2707,PoorTesting
flink,13571,BugProne
spark,22094,BugProne
drill,819,PoorTesting
geode-native,615,Convention
daffodil,407,PoorTesting
openwhisk,484,PoorTesting
trafficserver,326,Readability
incubator-mxnet,13145,MissingDocs
arrow,7507,Convention
openwhisk-wskdeploy,103,ArchitecturalFlaw
spark,17130,NotSATD
spark,9867,DeadCode
airflow,13929,Convention
trafficcontrol,4959,ArchitecturalFlaw
flink,1640,PoorPerformance
flink,6159,Convention
zookeeper,924,DeadCode
druid,3570,NotSATD
openwhisk,1071,Readability
nifi-minifi-cpp,788,DeadCode
ambari,1646,DeadCode
spark,31721,Convention
beam,1974,Readability
tvm,5144,Duplicate
flink,9890,Convention
spark,22006,Convention
incubator-heron,176,ArchitecturalFlaw
kafka,9007,Convention
apisix,2329,DeadCode
tvm,2292,BugProne
netbeans,2324,Convention
kafka,2320,ArchitecturalFlaw
spark,6558,MissingDocs
iceberg,933,Duplicate
beam,5028,PoorPerformance
spark,5511,BugProne
pulsar,2101,Readability
storm,2433,Duplicate
beam,4910,PoorOutput
kafka,6163,Convention
druid,2524,ArchitecturalFlaw
incubator-pinot,141,NotSATD
spark,21356,DeadCode
storm,2911,Convention
spark,15009,ArchitecturalFlaw
dubbo,4526,Duplicate
iceberg,2294,Readability
spark,26682,NotSATD
openwhisk,4870,PoorPerformance
spark,8785,PoorPerformance
kafka,3765,Convention
incubator-mxnet,15161,DeadCode
beam,7237,Convention
cloudstack,1224,Convention
jena,151,ArchitecturalFlaw
spark,12474,ArchitecturalFlaw
nifi,1800,Convention
spark,708,PoorOutput
flink,15389,ArchitecturalFlaw
zeppelin,2753,Convention
trafficserver,7138,DeadCode
spark,25628,BugProne
cloudstack,4574,BugProne
spark,12241,BugProne
hudi,1115,PoorTesting
nutch,484,PoorTesting
commons-lang,261,PoorTesting
kafka,841,NotSATD
ignite,6420,Convention
ignite,5635,BugProne
samza,103,Convention
samza,235,Readability
gobblin,2015,Readability
beam,12645,MissingDocs
tvm,2773,Convention
hbase,1482,MissingDocs
airflow,5661,BugProne
incubator-pinot,4047,DeadDocs
flink,10017,DeadDocs
airflow,5010,NotSATD
kafka,764,Readability
trafficserver,3903,NotSATD
spark,5434,PoorOutput
openwhisk,3449,NotSATD
trafodion,604,PoorOutput
rocketmq,64,PoorTesting
spark,12836,ArchitecturalFlaw
activemq-artemis,2558,NotSATD
pulsar,366,Readability
beam,13435,NotSATD
incubator-mxnet,10819,PoorTesting
tvm,4144,Readability
tvm,4251,PoorOutput
spark,27165,NotSATD
hadoop,1900,NotSATD
spark,3165,MissingDocs
ignite,6392,PoorPerformance
pulsar,2241,BugProne
spark,15573,PoorPerformance
cloudstack,2594,DeadCode
flink,9363,ArchitecturalFlaw
incubator-heron,2295,NotSATD
qpid-dispatch,1047,BugProne
kafka,3530,PoorTesting
kafka,6363,PoorTesting
samza,103,PoorTesting
superset,12739,Readability
incubator-heron,1893,Duplicate
kafka,1664,ArchitecturalFlaw
spark,20923,NotSATD
pulsar,3019,Convention
spark,8093,BugProne
spark,13565,BugProne
flink,4364,PoorTesting
trafficserver,6379,Duplicate
spark,8531,PoorPerformance
superset,13210,Readability
spark,11620,Convention
calcite,2286,Duplicate
attic-stratos,192,Convention
spark,23982,Readability
tvm,1403,PoorOutput
phoenix,516,NotSATD
beam,10455,Convention
spark,5760,NotSATD
spark,204,PoorOutput
flink,6236,Convention
spark,23747,DeadCode
cloudstack,1578,Convention
jena,337,DeadCode
trafodion,1036,Convention
spark,1484,Readability
arrow,5451,Convention
kafka,1791,Readability
spark,25811,Readability
spark,29992,BugProne
drill,996,Duplicate
incubator-mxnet,13549,Convention
flink,7123,Readability
flink,6178,Readability
spark,16706,Readability
airflow,5343,Readability
spark,25823,Readability
incubator-pinot,5853,Readability
druid,7758,Convention
beam,10367,BugProne
incubator-dolphinscheduler,4896,NotSATD
airflow,14219,PoorTesting
hudi,1274,ArchitecturalFlaw
reef,1473,MissingDocs
incubator-heron,1969,Readability
calcite,1584,ArchitecturalFlaw
spark,23943,DeadCode
spark,16944,DeadCode
flink,10454,DeadCode
druid,4754,ArchitecturalFlaw
flink,11403,Convention
airflow,1830,Readability
arrow,898,BugProne
arrow,2623,BugProne
beam,2330,DeadCode
kafka,10039,ArchitecturalFlaw
pulsar,6196,NonCodeArtifact
lucene-solr,2423,BugProne
arrow,66,ArchitecturalFlaw
iceberg,1128,DeadCode
helix,478,DeadCode
beam,12938,Convention
nifi,4753,Convention
spark,22878,Readability
hawq,392,Convention
hbase,1627,DeadCode
spark,29728,Readability
beam,6707,NotSATD
kafka,2492,DeadDocs
nifi,1918,Readability
spark,15172,Convention
geode-native,288,Readability
flink,6170,Convention
trafficserver,6609,Convention
kafka,9998,DeadCode
spark,17459,Readability
spark,19495,Readability
flink,2363,BugProne
accumulo,332,Convention
spark,2685,ArchitecturalFlaw
phoenix,936,NotSATD
incubator-heron,1728,ArchitecturalFlaw
storm,1406,ArchitecturalFlaw
helix,1472,PoorPerformance
hadoop,840,Readability
thrift,448,ArchitecturalFlaw
cloudstack,1740,BugProne
cloudstack,1705,PoorOutput
spark,13729,PoorPerformance
usergrid,180,Readability
airflow,10346,PoorOutput
dubbo,4655,Convention
phoenix,508,BugProne
carbondata,240,NotSATD
spark,16280,ArchitecturalFlaw
druid,3956,BugProne
airflow,1352,Duplicate
groovy,480,BugProne
zeppelin,3497,PoorTesting
flink,966,PoorTesting
camel-quarkus,1526,PoorTesting
brooklyn-server,144,PoorTesting
spark,1285,PoorTesting
thrift,1039,PoorTesting
spark,9773,PoorTesting
spark,3246,DeadCode
incubator-pinot,6004,NotSATD
shardingsphere,3158,Convention
flink,705,ArchitecturalFlaw
beam,1278,BugProne
spark,2933,BugProne
incubator-brooklyn,910,ArchitecturalFlaw
camel-quarkus,570,ArchitecturalFlaw
flink,9748,MissingDocs
spark,3099,MissingDocs
arrow,8648,MissingDocs
flink,4143,Convention
incubator-brooklyn,910,MissingDocs
tinkerpop,1308,MissingDocs
helix,1208,DeadCode
kafka,6762,DeadDocs
cloudstack,2699,MissingDocs
beam,9730,BugProne
arrow,5213,MissingDocs
zookeeper,684,MissingDocs
tinkerpop,141,Readability
spark,4214,MissingDocs
